gene_id,score
Os01g0884500,100.0
Os09g0484300,99.99977
Os12g0560400,99.99976
Os01g0744300,99.99974
Os12g0123700,99.99974
Os04g0624450,99.99971
Os06g0662000,99.999695
Os11g0676650,99.999695
Os11g0490200,99.99969
Os11g0173700,99.999664
Os11g0691800,99.99965
Os02g0192400,99.99965
Os02g0784100,99.99962
Os06g0142900,99.99962
Os11g0179300,99.9996
Os01g0888300,99.9996
Os04g0475400,99.9996
Os03g0587850,99.9996
Os11g0568800,99.999596
Os02g0782800,99.999596
Os02g0723600,99.99959
Os11g0673200,99.99959
Os01g0965500,99.99959
Os07g0499800,99.99959
Os08g0247801,99.99956
Os05g0170300,99.99956
Os09g0307800,99.99956
Os05g0418800,99.99954
Os01g0187500,99.99954
Os02g0609900,99.99954
Os03g0145775,99.99953
Os02g0610000,99.99953
Os04g0572700,99.99953
Os03g0120000,99.99953
Os06g0587000,99.99952
Os01g0149700,99.99952
Os01g0655300,99.99952
Os11g0126900,99.99952
Os07g0251900,99.99951
Os01g0218900,99.99951
Os11g0696600,99.99951
Os08g0336500,99.99951
Os06g0674000,99.99951
Os01g0218800,99.99951
Os01g0104200,99.999504
Os01g0510500,99.999504
Os08g0337100,99.999504
Os01g0793100,99.99949
Os08g0337001,99.99949
Os07g0683200,99.99949
Os02g0515000,99.99949
Os04g0647900,99.99948
Os08g0502000,99.99948
Os01g0661500,99.99948
Os02g0257300,99.99948
Os02g0211900,99.999466
Os11g0695800,99.99946
Os04g0572600,99.99946
Os12g0126100,99.99946
Os11g0173550,99.99946
Os03g0266600,99.99944
Os11g0129500,99.99944
Os05g0119400,99.999435
Os04g0437200,99.999435
Os08g0268000,99.999435
Os02g0122700,99.999435
Os02g0611300,99.999435
Os08g0337300,99.99943
Os05g0230200,99.99943
Os09g0555187,99.99943
Os09g0555200,99.99943
Os06g0587900,99.99943
Os08g0155700,99.99941
Os01g0655250,99.9994
Os08g0247600,99.9994
Os06g0667000,99.99939
Os02g0686500,99.99939
Os11g0644100,99.99939
Os11g0245200,99.99939
Os08g0101500,99.99938
Os10g0375000,99.99938
Os06g0576200,99.99937
Os04g0501000,99.99935
Os05g0181000,99.99935
Os01g0348700,99.99935
Os01g0194000,99.99935
Os09g0544500,99.99935
Os01g0694100,99.99933
Os01g0667000,99.99933
Os08g0180100,99.999306
Os06g0665200,99.999306
Os04g0661900,99.999306
Os05g0530701,99.99929
Os09g0560850,99.99929
Os05g0147133,99.99929
Os04g0612100,99.99929
Os08g0155800,99.99929
Os03g0646800,99.99929
Os03g0154300,99.99928
Os09g0408500,99.99928
Os06g0585982,99.99928
Os06g0679800,99.99926
Os11g0173432,99.99926
Os01g0976500,99.99926
Os10g0337400,99.99926
Os01g0823600,99.99926
Os07g0498400,99.99925
Os10g0495600,99.99925
Os10g0132400,99.99925
Os01g0378400,99.99925
Os01g0726700,99.99925
Os02g0107700,99.999245
Os02g0211200,99.99924
Os04g0624400,99.99924
Os10g0336300,99.99922
Os05g0210600,99.99922
Os11g0172150,99.99922
Os05g0147100,99.99922
Os01g0616300,99.99921
Os05g0415400,99.99921
Os07g0142300,99.99921
Os06g0587200,99.99919
Os01g0616333,99.99919
Os02g0823300,99.99919
Os02g0215500,99.99919
Os02g0231700,99.999176
Os11g0173750,99.999176
Os06g0301201,99.999176
Os02g0214633,99.999176
Os02g0175400,99.999176
Os02g0461300,99.999176
Os11g0172400,99.999176
Os06g0585966,99.999176
Os04g0226666,99.99917
Os07g0121301,99.99917
Os08g0247700,99.99916
Os01g0152687,99.99916
Os09g0556700,99.99916
Os01g0152000,99.99916
Os12g0620000,99.99916
Os11g0143400,99.99916
Os05g0439500,99.99916
Os09g0254100,99.99916
Os06g0585950,99.99916
Os09g0253332,99.99916
Os08g0166100,99.99916
Os10g0404000,99.99916
Os04g0484300,99.99916
Os08g0164300,99.99916
Os09g0253500,99.99916
Os03g0319200,99.99916
Os08g0431100,99.99916
Os07g0474850,99.99916
Os09g0408300,99.99916
Os11g0707100,99.99916
Os02g0192300,99.99916
Os07g0171400,99.99916
Os09g0535200,99.99916
Os04g0521900,99.99915
Os04g0174500,99.99915
Os12g0139500,99.99915
Os07g0142500,99.99915
Os08g0163900,99.99915
Os08g0478000,99.99915
Os06g0229700,99.99915
Os04g0226800,99.99915
Os05g0469825,99.99914
Os01g0635600,99.99914
Os09g0530600,99.99914
Os07g0121200,99.99914
Os06g0697400,99.99914
Os07g0695400,99.99913
Os02g0579800,99.99913
Os02g0216000,99.99912
Os06g0626050,99.99912
Os10g0360800,99.99911
Os01g0523100,99.99911
Os02g0210700,99.99911
Os01g0153500,99.99911
Os04g0472400,99.99911
Os06g0583600,99.99909
Os06g0133800,99.999084
Os02g0155600,99.99908
Os08g0164400,99.99907
Os02g0615800,99.99907
Os10g0358900,99.99907
Os01g0153600,99.99906
Os01g0154100,99.99906
Os06g0586150,99.99906
Os01g0153900,99.99906
Os01g0152600,99.99906
Os09g0544700,99.99906
Os09g0378100,99.99906
Os04g0648400,99.99906
Os01g0153950,99.99906
Os01g0154200,99.99906
Os11g0622150,99.99906
Os08g0171600,99.99906
Os06g0586400,99.99906
Os06g0284900,99.99906
Os12g0540700,99.99905
Os11g0569300,99.99905
Os02g0211600,99.99904
Os04g0530700,99.99903
Os07g0129600,99.99903
Os12g0157550,99.99903
Os07g0191600,99.99902
Os06g0588800,99.99902
Os04g0461600,99.999016
Os12g0498650,99.999
Os02g0154800,99.999
Os03g0830300,99.999
Os03g0107500,99.999
Os01g0267600,99.99899
Os02g0154975,99.99899
Os02g0276200,99.99899
Os03g0234600,99.998985
Os06g0520733,99.998985
Os10g0560200,99.99898
Os09g0570500,99.99898
Os11g0695000,99.99898
Os06g0266266,99.99898
Os06g0612200,99.99898
Os09g0499600,99.99896
Os01g0153000,99.99896
Os04g0226340,99.99896
Os04g0227200,99.99896
Os09g0294300,99.99896
Os01g0729400,99.99895
Os02g0763000,99.99895
Os02g0515125,99.99895
Os02g0211800,99.99895
Os12g0582600,99.99895
Os05g0115500,99.99895
Os04g0677200,99.99894
Os01g0233900,99.99894
Os01g0681600,99.99894
Os06g0161100,99.99894
Os05g0557600,99.99894
Os11g0105750,99.99893
Os06g0162100,99.99893
Os01g0232500,99.99893
Os07g0669650,99.99893
Os12g0273900,99.99893
Os12g0177600,99.99893
Os02g0680167,99.99892
Os02g0615400,99.99892
Os12g0177550,99.99892
Os01g0839000,99.99892
Os11g0692500,99.99892
Os04g0504700,99.99892
Os05g0479250,99.99891
Os06g0135460,99.9989
Os02g0155750,99.9989
Os09g0370500,99.9989
Os04g0613700,99.99889
Os08g0446400,99.99889
Os01g0694000,99.99889
Os03g0829900,99.998886
Os02g0286933,99.998886
Os12g0105300,99.998886
Os01g0783400,99.998886
Os04g0313600,99.99887
Os02g0156600,99.99887
Os05g0270200,99.99887
Os03g0201500,99.99886
Os03g0201901,99.99886
Os01g0162800,99.99886
Os08g0331900,99.998856
Os03g0680200,99.99885
Os03g0679300,99.99885
Os01g0677500,99.99885
Os04g0596850,99.99885
Os03g0680566,99.99885
Os04g0596800,99.99885
Os03g0830200,99.998825
Os01g0848900,99.998825
Os02g0555300,99.998825
Os01g0188900,99.9988
Os02g0710900,99.9988
Os04g0213800,99.9988
Os05g0549100,99.998795
Os11g0500100,99.998795
Os01g0171100,99.998795
Os08g0426000,99.998795
Os05g0595800,99.99878
Os02g0493300,99.99878
Os03g0680400,99.99877
Os09g0124100,99.99877
Os03g0679800,99.99877
Os02g0494400,99.99877
Os03g0174800,99.99877
Os03g0821200,99.99877
Os02g0494000,99.998764
Os02g0227900,99.998764
Os02g0493050,99.998764
Os05g0112200,99.998764
Os06g0599050,99.998764
Os05g0297001,99.998764
Os03g0683700,99.998764
Os08g0190200,99.998764
Os03g0782400,99.99876
Os05g0380700,99.99876
Os03g0680600,99.99874
Os03g0680500,99.99874
Os05g0153066,99.99874
Os04g0611400,99.99874
Os09g0124800,99.99874
Os12g0634900,99.99874
Os07g0563600,99.99874
Os08g0233400,99.99874
Os01g0653350,99.99873
Os08g0325267,99.998726
Os06g0186300,99.998726
Os02g0157200,99.99872
Os08g0205800,99.998695
Os02g0492600,99.998695
Os01g0162200,99.998695
Os04g0615200,99.998695
Os07g0567900,99.998695
